what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1470224546522
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1470224557586
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1470224557680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224561149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1470224561199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224565858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224568658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1470224568692
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470224578090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470224578263
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1470224578533
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1470224578695
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1470224582186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224583547
started,bundle,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse",1470224584754
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470224584932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224585042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470224585053
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470224589446
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470224589525
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1470224599283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224600551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224601704
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1470224601730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470224601730
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470224601801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224608183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224615231
